#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3937	Microglia pathogen phagocytosis pathway	4	40	1.29	0.64	0.0051	9606.ENSP00000356505,9606.ENSP00000363773,9606.ENSP00000378845,9606.ENSP00000391592	NCF2,C1QA,LAT,PTPN6
WP4754	IL-18 signaling pathway	8	271	0.76	0.53	0.0056	9606.ENSP00000248553,9606.ENSP00000296026,9606.ENSP00000311032,9606.ENSP00000349446,9606.ENSP00000356505,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000412237	HSPB1,CXCL3,CASP3,ARG1,NCF2,SPP1,IL6,IL10
WP4891	COVID-19 adverse outcome pathway	3	15	1.6	0.65	0.0058	9606.ENSP00000263851,9606.ENSP00000385675,9606.ENSP00000412237	IL7,IL6,IL10
WP286	IL-3 signaling pathway	4	49	1.21	0.58	0.0077	9606.ENSP00000221930,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	TGFB1,CRKL,SRC,PTPN6
WP3646	Hepatitis C and hepatocellular carcinoma	4	48	1.22	0.58	0.0077	9606.ENSP00000221930,9606.ENSP00000311032,9606.ENSP00000384849,9606.ENSP00000385675	TGFB1,CASP3,CDKN1A,IL6
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.17	0.56	0.0088	9606.ENSP00000248553,9606.ENSP00000262320,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,AXIN1,F2R,CDKN1A
WP4300	Extracellular vesicles in the crosstalk of cardiac cells	3	19	1.49	0.59	0.0088	9606.ENSP00000248553,9606.ENSP00000378517,9606.ENSP00000385675	HSPB1,SPP1,IL6
WP4747	Netrin-UNC5B signaling pathway	4	52	1.18	0.56	0.0088	9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000380942,9606.ENSP00000412237	CASP3,SRC,ARHGEF12,IL10
WP4879	Overlap between signal transduction pathways contributing to LMNA laminopathies	4	55	1.16	0.56	0.0093	9606.ENSP00000221930,9606.ENSP00000262320,9606.ENSP00000378517,9606.ENSP00000384849	TGFB1,AXIN1,SPP1,CDKN1A
WP5072	Modulators of TCR signaling and T cell activation	4	61	1.11	0.52	0.0128	9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000378845,9606.ENSP00000391592	GRAP2,SH2B3,LAT,PTPN6
WP2431	Spinal cord injury	5	115	0.93	0.49	0.0133	9606.ENSP00000221930,9606.ENSP00000285735,9606.ENSP00000311032,9606.ENSP00000349446,9606.ENSP00000385675	TGFB1,RHOC,CASP3,ARG1,IL6
WP3888	VEGFA-VEGFR2 signaling	9	428	0.62	0.43	0.0133	9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000391592,9606.ENSP00000407685,9606.ENSP00000416255	HSPB1,RHOC,PLA2G4A,NCF2,SRC,WASF1,PTPN6,TNXB,EIF4G1
WP4216	Chromosomal and microsatellite instability in colorectal cancer 	4	72	1.04	0.46	0.0202	9606.ENSP00000221930,9606.ENSP00000262320,9606.ENSP00000311032,9606.ENSP00000384849	TGFB1,AXIN1,CASP3,CDKN1A
WP366	TGF-beta signaling pathway	5	132	0.87	0.43	0.0213	9606.ENSP00000221930,9606.ENSP00000262320,9606.ENSP00000313391,9606.ENSP00000362680,9606.ENSP00000384849	TGFB1,AXIN1,DAB2,SRC,CDKN1A
WP2037	Prolactin signaling pathway	4	76	1.02	0.45	0.0226	9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	PPIB,CASP3,SRC,PTPN6
WP5088	Prostaglandin signaling	3	32	1.27	0.47	0.0226	9606.ENSP00000221930,9606.ENSP00000354901,9606.ENSP00000385675	TGFB1,CXCL9,IL6
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	5	143	0.84	0.41	0.0269	9606.ENSP00000233154,9606.ENSP00000311032,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000378517	NCK2,CASP3,NCF2,SRC,SPP1
WP4666	Hepatitis B infection	5	150	0.82	0.39	0.0318	9606.ENSP00000221930,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000385675	TGFB1,CASP3,SRC,CDKN1A,IL6
WP5285	Immune infiltration in pancreatic cancer	3	38	1.19	0.42	0.0318	9606.ENSP00000221930,9606.ENSP00000385675,9606.ENSP00000412237	TGFB1,IL6,IL10
WP2828	Bladder cancer	3	39	1.18	0.42	0.0324	9606.ENSP00000362680,9606.ENSP00000379038,9606.ENSP00000384849	SRC,TYMP,CDKN1A
WP3941	Oxidative damage response	3	39	1.18	0.42	0.0324	9606.ENSP00000311032,9606.ENSP00000363773,9606.ENSP00000384849	CASP3,C1QA,CDKN1A
WP673	ErbB signaling pathway	4	89	0.95	0.4	0.0324	9606.ENSP00000233154,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849	NCK2,CRKL,SRC,CDKN1A
WP4136	Fibrin complement receptor 3 signaling pathway	3	43	1.14	0.4	0.0384	9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000385675	CXCL3,SRC,IL6
WP5198	Inflammatory bowel disease signaling	3	43	1.14	0.4	0.0384	9606.ENSP00000221930,9606.ENSP00000385675,9606.ENSP00000412237	TGFB1,IL6,IL10
WP2586	Aryl hydrocarbon receptor pathway	3	45	1.12	0.39	0.0409	9606.ENSP00000295256,9606.ENSP00000362680,9606.ENSP00000384849	HPGDS,SRC,CDKN1A
WP75	Toll-like receptor signaling pathway	4	102	0.89	0.36	0.0445	9606.ENSP00000354901,9606.ENSP00000361359,9606.ENSP00000378517,9606.ENSP00000385675	CXCL9,CD40,SPP1,IL6
WP5090	Complement system in neuronal development and plasticity	4	105	0.88	0.35	0.0480	9606.ENSP00000221930,9606.ENSP00000258080,9606.ENSP00000311032,9606.ENSP00000363773	TGFB1,HTRA2,CASP3,C1QA
