#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.1	0.48	0.0170	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
WP530	Cytokines and inflammatory response	3	26	1.36	0.49	0.0191	9606.ENSP00000263851,9606.ENSP00000327513,9606.ENSP00000385675	IL7,CSF1,IL6
WP306	Focal adhesion	6	195	0.78	0.41	0.0228	9606.ENSP00000222390,9606.ENSP00000261405,9606.ENSP00000346300,9606.ENSP00000355751,9606.ENSP00000362680,9606.ENSP00000378517	HGF,VWF,CRKL,THBS2,SRC,SPP1
WP4754	IL-18 signaling pathway	7	271	0.71	0.4	0.0228	9606.ENSP00000218388,9606.ENSP00000248553,9606.ENSP00000296026,9606.ENSP00000378517,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000474412	TIMP1,HSPB1,CXCL3,SPP1,TNFSF11,IL6,CCL5
WP313	Hepatocyte growth factor receptor signaling	3	34	1.24	0.42	0.0335	9606.ENSP00000222390,9606.ENSP00000346300,9606.ENSP00000362680	HGF,CRKL,SRC
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	7	301	0.66	0.36	0.0357	9606.ENSP00000222390,9606.ENSP00000261405,9606.ENSP00000321326,9606.ENSP00000327513,9606.ENSP00000355751,9606.ENSP00000378517,9606.ENSP00000384849	HGF,VWF,F2R,CSF1,THBS2,SPP1,CDKN1A
WP4298	Acute viral myocarditis	4	85	0.97	0.38	0.0382	9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000416255,9606.ENSP00000442600	SRC,IL6,EIF4G1,DAG1
WP5285	Immune infiltration in pancreatic cancer	3	38	1.19	0.4	0.0394	9606.ENSP00000296027,9606.ENSP00000385675,9606.ENSP00000474412	CXCL5,IL6,CCL5
WP1772	Apoptosis modulation and signaling	4	89	0.95	0.37	0.0413	9606.ENSP00000258080,9606.ENSP00000287295,9606.ENSP00000365435,9606.ENSP00000499058	HTRA2,AIFM1,TNFRSF1B,DIABLO
WP3937	Microglia pathogen phagocytosis pathway	3	40	1.17	0.39	0.0413	9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000428924	LAT,PTPN6,LYN
WP673	ErbB signaling pathway	4	89	0.95	0.37	0.0413	9606.ENSP00000233154,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849	NCK2,CRKL,SRC,CDKN1A
WP69	T-cell receptor signaling pathway	4	90	0.94	0.37	0.0413	9606.ENSP00000339186,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000385675	GRAP2,CRKL,LAT,IL6
WP23	B cell receptor signaling pathway	4	97	0.91	0.36	0.0480	9606.ENSP00000346300,9606.ENSP00000391592,9606.ENSP00000423602,9606.ENSP00000428924	CRKL,PTPN6,DAPP1,LYN
WP5087	Malignant pleural mesothelioma	8	434	0.56	0.32	0.0484	9606.ENSP00000222390,9606.ENSP00000296027,9606.ENSP00000327513,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000416255,9606.ENSP00000474412	HGF,CXCL5,CSF1,SRC,CDKN1A,IL6,EIF4G1,CCL5
